"","Source","SSP","RCP","GCM","Year2","cCotton.sum","cCorn.sum","cRice.sum","cSoybean.sum","cSugar.sum","cWheat.sum"
"152","harmonized","ssp1","rcp45","miroc",2050,-340615.540646898,-17821829.8201712,-11155093.5751602,-1707592.04024801,-79952.4665996392,-4330275.31596788
"153","harmonized","ssp1","rcp45","miroc",2055,-350384.892103243,-19028636.3685537,-11637807.919997,-1796528.72881366,-60168.4470824876,-4467419.71938178
"154","harmonized","ssp1","rcp45","miroc",2060,-380311.807602864,-20459622.1680244,-12259256.5345589,-1911576.51825478,-57706.5286763884,-4577272.42467441
"155","harmonized","ssp1","rcp45","miroc",2065,-385247.219402316,-21531088.7973501,-12701055.6305975,-1990215.96675772,-56321.3255339391,-4679090.04188238
"156","harmonized","ssp1","rcp45","miroc",2070,-404794.395910695,-22402802.7271638,-12993272.4230317,-2104671.25288993,-53146.4896966183,-4767055.45441063
"157","harmonized","ssp1","rcp45","miroc",2075,-423690.626461906,-23534734.2325061,-13182833.3638111,-2216011.21066154,-47637.804931969,-4776654.24035097
"158","harmonized","ssp1","rcp45","miroc",2080,-437008.19156508,-24630763.1409602,-13438648.1889536,-2264827.31990232,-40037.3400490168,-4867587.61515451
"159","harmonized","ssp1","rcp45","miroc",2085,-437904.207187672,-25395826.0788033,-13491635.1187964,-2391890.20948233,-37058.4892912526,-4930583.38240188
"160","harmonized","ssp1","rcp45","miroc",2090,-440258.605803888,-26298048.5010377,-13587506.4482379,-2485645.80755207,-34130.3790767634,-4922882.69541836
"161","harmonized","ssp1","rcp45","miroc",2095,-447299.235234047,-27063611.6110179,-13306801.0624083,-2622444.16781353,-31352.8929752577,-4953796.8131975
"162","harmonized","ssp1","rcp45","miroc",2100,-442395.06751686,-27755793.0937931,-13408150.0730884,-2648480.14804282,-28959.507130423,-5001215.19596185
"163","harmonized","ssp1","rcp45","noresm",2015,-160743.071094775,-10135612.3807303,-7534482.52625559,-797163.299218326,-406482.613060826,-4171577.11899437
"164","harmonized","ssp1","rcp45","noresm",2020,-195370.464717941,-12048038.1364101,-8383179.61969443,-975786.159944802,-321824.492153968,-4573483.66885343
"165","harmonized","ssp1","rcp45","noresm",2025,-218012.680278371,-13001069.3412665,-8878978.75363128,-1096101.66111468,-232911.298168628,-4477108.90983116
"166","harmonized","ssp1","rcp45","noresm",2030,-234533.466383039,-13847035.4097315,-9200671.03143244,-1171173.23702261,-184199.677381425,-4252305.09368025
"167","harmonized","ssp1","rcp45","noresm",2035,-259151.642860821,-14620157.5781996,-9690994.75026083,-1254588.61727918,-136691.274998171,-4242278.8720968
"168","harmonized","ssp1","rcp45","noresm",2040,-291068.755367044,-15293754.6903125,-10106401.4247805,-1372219.77939826,-113122.316282123,-4279054.38355537
"169","harmonized","ssp1","rcp45","noresm",2045,-299658.944610061,-16340948.295801,-10158454.7330637,-1438974.40022237,-107937.385236337,-4340306.02868532
"170","harmonized","ssp1","rcp45","noresm",2050,-319180.760928875,-16909516.6925265,-10345807.2910962,-1519836.47055695,-92067.2896897072,-4333082.68144179
"171","harmonized","ssp1","rcp45","noresm",2055,-339704.563407212,-17653400.4633307,-10766370.3896858,-1611702.66951465,-74594.7196106626,-4401985.0355593
"172","harmonized","ssp1","rcp45","noresm",2060,-362330.261067507,-18593544.3728645,-11079374.5408186,-1718890.43179223,-70954.3513546105,-4494953.40391443
"173","harmonized","ssp1","rcp45","noresm",2065,-377930.069200789,-19161713.9676501,-11300196.7126486,-1807253.72049972,-60502.8281896661,-4509365.36480428
"174","harmonized","ssp1","rcp45","noresm",2070,-381898.978207741,-19939772.2882661,-11398019.6986129,-1890456.61116051,-53832.3667198976,-4558111.97564585
"175","harmonized","ssp1","rcp45","noresm",2075,-393732.361306075,-20423035.316059,-11951763.8192049,-1982575.19650234,-43151.3551436594,-4526463.11501753
"176","harmonized","ssp1","rcp45","noresm",2080,-397910.152251406,-21191018.5580345,-12026969.312127,-2061562.88340699,-37917.8151310854,-4562660.54773552
